mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2845635890960693,0.014720575831788736,0.01174321174621582,0.0010624792489614132,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6011342155009451,0.571992110453649,0.5362903225806451,0.5265151515151515,0.524904214559387,0.5521672029219555,0.029813315430385387,42
0.5726643562316894,0.012993395808824807,0.02256298065185547,0.0013424021355860976,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.616822429906542,0.5753968253968254,0.5515873015873016,0.5386064030131826,0.5305343511450382,0.562589462209778,0.0310773491442438,3
0.2841471195220947,0.01877528463648187,0.01067037582397461,0.001619773008764919,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.5977443609022557,0.5836575875486382,0.544,0.5220729366602687,0.5313092979127134,0.5557568366047752,0.029704930804113152,22
0.567744255065918,0.034948335180293916,0.023780965805053712,0.003827937512524357,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6026365348399246,0.5764705882352941,0.5450901803607214,0.5267175572519084,0.5353728489483748,0.5572575419272446,0.028242058297666576,18
0.27979321479797364,0.015016826522933489,0.01175694465637207,0.0020596675531634186,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6003824091778203,0.5680473372781065,0.5469061876247505,0.5351043643263758,0.5378787878787878,0.5576638172571682,0.024284968532228782,16
0.657248067855835,0.019310890515730435,0.023692560195922852,0.006264495460883419,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6007604562737643,0.5826771653543307,0.5429141716566867,0.5285171102661597,0.5437262357414449,0.5597190278584773,0.027288118941198175,10
0.34414005279541016,0.020279694254590013,0.013176536560058594,0.003550172431646403,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6060606060606061,0.5631067961165048,0.5504950495049505,0.5171102661596958,0.5402298850574713,0.5554005205798458,0.029482830107518614,25
0.53980393409729,0.02324526113171695,0.02263355255126953,0.003315887884321058,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6015037593984962,0.5703125,0.549407114624506,0.5300751879699248,0.5430210325047801,0.5588639188995415,0.024973767164533228,12
0.26982865333557127,0.021111167252688783,0.013223028182983399,0.0025825993634971344,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6037735849056604,0.5741811175337187,0.5357142857142857,0.5257142857142857,0.5399239543726235,0.5558614456481148,0.02898256855374328,21
0.523872184753418,0.014843046789458449,0.021389055252075195,0.0023463792205042195,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6,0.5730994152046783,0.5410821643286573,0.5330812854442344,0.5287356321839081,0.5551996994322955,0.02726295158549653,27
