mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04578895568847656,0.007699535613602565,0.0025909900665283202,0.0009657491820278524,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.32360742705570295,0.32,0.3220779220779221,0.32558139534883723,0.3036649214659686,0.31898633318968617,0.007876299294281176,69
0.04011688232421875,0.002802334565008162,0.002439737319946289,0.0008170001575682306,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.24,0.33070866141732286,0.24089635854341737,0.29110512129380056,0.29333333333333333,0.27920869491757483,0.034636494614675134,71
0.07140235900878907,0.007447194250581337,0.0027923583984375,0.0010411104657251087,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.5299145299145299,0.519650655021834,0.5296610169491526,0.47578947368421054,0.47435897435897434,0.5058749299857404,0.02542377248945117,57
0.07450995445251465,0.01238460153663899,0.002907085418701172,0.0011352668846065321,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.5287846481876333,0.5183585313174947,0.509719222462203,0.46808510638297873,0.4805194805194805,0.501093397773958,0.023030972228923578,59
0.07808036804199218,0.007451896754781941,0.0024681568145751955,0.0008126882922649495,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.45823389021479716,0.44660194174757284,0.37220843672456577,0.4168618266978923,0.3737864077669903,0.4135385006303636,0.0357500113405357,67
0.07698292732238769,0.005927707127430736,0.002993488311767578,0.001060245106237555,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.4552058111380145,0.4292682926829268,0.3681592039800995,0.43457943925233644,0.3719806763285024,0.41183868467637597,0.03520851793200443,68
0.15479121208190919,0.007579048180422674,0.005687522888183594,0.0007415520521271747,0.8,0.01,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.5882352941176471,0.5525773195876289,0.5095541401273885,0.5198412698412699,0.5189620758483033,0.5378340199044475,0.02911114650906541,56
0.14513721466064453,0.00747458177545788,0.006450033187866211,0.0003633976139088122,0.8,0.01,6,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.592156862745098,0.5495867768595041,0.5311203319502075,0.5196850393700787,0.5277777777777778,0.5440653577405332,0.02596358141817686,50
0.16350760459899902,0.019500398946427026,0.0037947654724121093,0.0011722957173606987,0.8,0.01,9,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8}",0.494279176201373,0.4320388349514563,0.3980815347721823,0.43577981651376146,0.375,0.42703587248775465,0.04042087030971586,64
0.16332387924194336,0.02715889725069321,0.005742216110229492,0.0015733998069917276,0.8,0.01,9,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.5114155251141552,0.4380952380952381,0.4028776978417266,0.448512585812357,0.3795620437956204,0.43609261813181943,0.04501276077920756,62
