,precision,recall,f1-score,support
0,0.9106280193236715,0.7285024154589372,0.809447128287708,1035.0
1,0.5163511187607573,0.8021390374331551,0.6282722513089005,374.0
accuracy,0.7480482611781405,0.7480482611781405,0.7480482611781405,0.7480482611781405
macro avg,0.7134895690422145,0.7653207264460462,0.7188596897983043,1409.0
weighted avg,0.8059725467824863,0.7480482611781405,0.7613567067191673,1409.0
