mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.95071382522583,0.08318307246779434,0.18636441230773926,0.012028200267670026,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5416666666666666,0.5213675213675214,0.5182186234817814,0.5061224489795918,0.532520325203252,0.5239791171397628,0.01220381875393261,14
2.0005098819732665,0.04220180462095685,0.2059642791748047,0.012364029623913943,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5598377281947262,0.5260960334029228,0.5241935483870968,0.5049701789264414,0.5502008032128514,0.5330596584248077,0.019631620943685032,13
1.9995311737060546,0.04903731608748828,0.20254163742065429,0.012249738712076349,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5175438596491229,0.5,0.519916142557652,0.4928131416837782,0.539553752535497,0.5139653792852099,0.016403846652311482,16
1.8792667388916016,0.0575504765371145,0.19826431274414064,0.02486593924929909,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5439330543933054,0.5236051502145923,0.5132382892057027,0.5010266940451745,0.5346938775510204,0.5232994130819592,0.015185352656037926,15
3.3519328594207765,0.03557712585241121,0.3476997375488281,0.01306461572094329,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.16216216216216217,0.13043478260869565,0.17261904761904762,0.15568862275449102,0.1580547112462006,0.15579186527811942,0.013941646390033197,20
1.928029680252075,0.03601772312146902,0.19231371879577636,0.0044766780987944245,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6112185686653772,0.5619834710743802,0.5233265720081136,0.5440313111545988,0.5531914893617021,0.5587502824528344,0.029208773083180064,7
1.827895164489746,0.04467622650217307,0.18739671707153321,0.007250594302205132,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5609756097560976,0.5397489539748954,0.5099601593625498,0.5173116089613035,0.552,0.5359992664109693,0.01960186213574127,12
1.859734058380127,0.03649134513142428,0.19065747261047364,0.004754905276588592,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5731462925851704,0.5420944558521561,0.5139442231075697,0.5227722772277228,0.5533596837944664,0.541063386513417,0.02122069082545823,9
2.007259798049927,0.03753751372792994,0.1948183536529541,0.01318480142569458,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6197718631178707,0.5667351129363449,0.5392354124748491,0.5517241379310345,0.5568181818181818,0.5668569416556561,0.02790244103127098,4
3.6648077964782715,0.030808237488669565,0.33995866775512695,0.008154654559993306,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.5498981670061099,0.4789356984478936,0.48394004282655245,0.43829787234042555,0.4605263157894737,0.48231961928209105,0.03739999755636469,17
